dish_id,calories,mass,fat,carbs,protein
dish_1562688426,137.57,88.0,8.256,5.1899999999999995,10.297
dish_1561662054,419.4387485360001,292.000009,23.838248557,26.351542331,25.910592411
dish_1560455030,20.59,103.0,0.148,4.625,0.956
dish_1558372433,74.360001,143.0,0.286,0.429,20.02
dish_1565640549,45.482907274,139.00000100000003,1.5684716420000002,7.043885411,2.6414777010000003
dish_1563207364,309.27,271.0,13.774,30.657000000000004,15.01
dish_1561575474,120.058427768,182.999998,4.966117272,17.412745024,2.9904313599999996
dish_1550795690,68.12,131.0,0.262,18.34,0.393
dish_1563216717,246.00801469200005,331.999995,5.636515563,16.28478132,33.06871218799999
dish_1565972591,195.2,122.0,12.2,3.66,17.08
dish_1568649312,44.46,78.0,0.234,10.92,0.546
dish_1550876012,253.52,215.0,4.456,12.46,38.608
dish_1566245398,506.35535667,229.999997,31.183909221,4.258221704,49.023196579
dish_1563381680,32.46,6.0,2.52,0.084,2.22
dish_1562183096,41.188979145,95.000001,2.571043263,3.280260076,2.804969889
dish_1563476551,1116.391072759,750.0000050000001,51.413694865,74.70595906999998,85.49849327599999
dish_1559844951,274.336,122.0,17.906,22.792,9.784
dish_1562963704,663.7557945199999,479.00000099999994,28.423252398,66.05483644300001,35.92175939
dish_1566417398,56.89249644,46.000001999999995,5.357862755,2.0880424719999997,0.7926466579999999
dish_1562611680,326.8889964660001,256.000003,19.41179857,24.775014216,16.028036991999997
dish_1568144828,76.74817796,152.0,4.168533162000001,10.369690693,1.32985644
dish_1550708440,37.5,75.0,0.075,9.75,0.375
dish_1551307090,171.55,53.0,11.686000000000002,11.48,6.152000000000001
dish_1564432238,455.388003735,314.999994,23.154680016000004,34.854781638999995,28.074875999000007
dish_1563468327,351.886037214,482.999998,9.768622828000002,57.495320236000005,12.099886764
dish_1562862493,198.32,134.0,14.74,2.144,13.4
dish_1558549008,20.7,115.0,0.23,4.485,1.035
dish_1560453174,329.71627842799995,255.999993,18.145133585000004,10.521853854,32.137599847000004
dish_1551226363,17.15,49.0,0.196,3.43,1.176
dish_1551374440,48.06,54.0,0.162,12.42,0.594
dish_1563824250,17.2,43.0,0.043,3.87,0.473
dish_1560543755,257.92492566000004,263.999999,8.887801847999999,27.355256516999997,17.404502615000002
dish_1563822597,59.40000047,176.00000200000002,2.170666674,7.626666754,4.106666696
dish_1551492561,357.932,161.0,28.653,7.446,18.05
dish_1551237016,92.5,37.0,5.55,0.0,9.62
dish_1551489812,74.75,65.0,6.955,4.095,0.52
dish_1558459276,102.7,79.0,0.237,22.12,2.133
dish_1560974707,55.025124922,59.99999999999999,2.0035458879999997,7.088692222000001,2.992605355
dish_1564686855,1030.16060169,435.000002,52.116470472,85.93034702199999,56.845510212
dish_1565119669,55.965,229.0,1.0305,10.842,3.2724999999999995
dish_1566417516,385.402536182,425.000009,36.51647323899999,23.505038580999997,33.69957666900001
dish_1558724031,358.711,303.0,25.801,25.79,14.067
dish_1551494178,369.66,231.0,14.521,36.072,26.472
dish_1551233434,27.23,106.0,0.292,5.182,2.334
dish_1551390304,39.65,65.0,0.325,9.75,0.715
dish_1558637393,739.968,128.0,63.36,29.056,28.672
dish_1563393217,49.23000188,228.000008,0.467666696,9.802667016,2.865666784
dish_1562789268,569.5116005460002,349.999998,22.73355202,64.756830044,32.585660096000005
dish_1568144803,66.12817796,93.0,4.050533162000001,8.068690692999999,0.79885644
dish_1551487158,94.3,82.0,8.774,5.166,0.656
dish_1559700851,61.089884813000005,54.000003,5.827235476999999,1.897059,1.151647139
